Id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,labels
1,0.062176166,0.125,0.021276596,0.041666667,0.095238095,0.0,0.0,0.017241379,0.328125,0.094949495,0.0,0.387038244,0.0
2,0.03626943,0.25,0.0,0.375,0.047619048,0.023809524,0.0,0.017241379,0.328125,0.094949495,0.0,0.0,1.0
3,0.015544041,0.125,0.021276596,0.0,0.023809524,0.0,0.0,0.0,0.3125,0.029809203,0.0,0.0,0.0
4,0.025906736,0.25,0.063829787,0.0,0.047619048,0.0,0.0,0.0,0.125,0.01301908,0.0,0.465879368,1.0
5,0.010362694,0.125,0.0,0.125,0.0,0.0,0.0,0.025862069,0.546875,0.290280584,0.0,0.0,1.0
6,0.07253886,0.25,0.042553191,0.0,0.0,0.119047619,0.0,0.0,0.328125,0.007766554,0.0,0.074540699,0.0
7,0.015544041,0.0,0.0,0.0,0.023809524,0.0,0.0,0.0,0.0625,0.003546577,0.5,0.0,0.0
8,0.10880829,0.375,0.063829787,0.166666667,0.095238095,0.047619048,0.0,0.0,0.21875,0.087676768,0.0,0.127058009,1.0
9,0.015544041,0.125,0.0,0.0,0.023809524,0.0,0.0,0.017241379,0.359375,0.039147026,0.0,0.0,1.0
10,0.041450777,0.125,0.0,0.0,0.071428571,0.0,0.0,0.00862069,0.015625,0.038922559,0.0,0.186351747,0.0
11,0.067357513,0.25,0.085106383,0.0,0.023809524,0.023809524,0.0,0.025862069,0.078125,0.008170595,0.0,0.279527621,1.0
12,0.015544041,0.375,0.0,0.0,0.023809524,0.071428571,0.0,0.0,0.109375,0.004983165,0.0,0.0,1.0
13,0.062176166,0.125,0.085106383,0.166666667,0.071428571,0.0,0.0,0.017241379,0.328125,0.094949495,0.0,0.215021247,0.0
14,0.03626943,0.25,0.0,0.0,0.0,0.023809524,0.0,0.017241379,0.4375,0.13993266,0.0,0.0,0.0
15,0.010362694,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.328125,0.094949495,0.0,0.0,1.0
16,0.020725389,0.125,0.021276596,0.083333333,0.0,0.0,0.0,0.0,0.46875,0.030527497,0.5,0.0,0.0
17,0.046632124,0.25,0.0,0.083333333,0.0,0.047619048,0.0,0.0,0.09375,0.057777778,0.0,0.0,1.0
18,0.259067358,0.5,0.340425532,0.166666667,0.095238095,0.119047619,0.0,0.0,0.21875,0.087676768,0.0,0.339817892,1.0
19,0.020725389,0.125,0.021276596,0.166666667,0.071428571,0.0,0.0,0.017241379,0.75,0.543434343,0.0,0.111811048,1.0
20,0.025906736,0.125,0.042553191,0.0,0.0,0.0,0.0,0.00862069,0.109375,0.065903479,0.0,0.093175874,0.0
21,0.010362694,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.328125,0.094949495,0.0,0.0,1.0
22,0.015544041,0.0,0.0,0.0,0.047619048,0.0,0.0,0.017241379,0.0625,0.024287318,0.0,0.0,0.0
23,0.015544041,0.25,0.0,0.0,0.023809524,0.023809524,0.0,0.0,0.109375,0.004983165,0.0,0.0,1.0
24,0.176165803,0.25,0.085106383,0.125,0.047619048,0.071428571,0.0,0.025862069,0.078125,0.008170595,0.0,0.111811048,1.0
25,0.082901554,0.25,0.042553191,0.416666667,0.023809524,0.023809524,0.0,0.0,0.3125,0.100381594,0.0,0.098656807,1.0
26,0.025906736,0.25,0.063829787,0.0,0.0,0.023809524,0.0,0.0,0.21875,0.004264871,0.0,0.186351747,0.0
27,0.056994819,0.25,0.021276596,0.0,0.0,0.095238095,0.0,0.0,0.25,0.007138047,0.0,0.093175874,0.0
28,0.031088083,0.125,0.042553191,0.333333333,0.023809524,0.0,0.0,0.0,0.3125,0.100381594,0.0,0.399325172,1.0
29,0.010362694,0.125,0.0,0.0,0.0,0.0,0.0,0.025862069,0.546875,0.290280584,0.0,0.0,1.0
30,0.077720207,0.25,0.0,0.125,0.095238095,0.071428571,0.0,0.017241379,0.75,0.543434343,0.0,0.384350478,1.0
31,0.020725389,0.125,0.0,0.0,0.023809524,0.0,0.0,0.0,0.109375,0.001705948,1.0,0.0,0.0
32,0.113989637,0.25,0.127659574,0.25,0.095238095,0.047619048,0.0,0.0,0.015625,0.02989899,0.0,0.267374246,1.0
33,0.015544041,0.0,0.0,0.0,0.047619048,0.0,0.0,0.017241379,0.0625,0.024287318,0.0,0.0,0.0
34,0.020725389,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.000852974,0.5,0.0,0.0
35,0.010362694,0.125,0.0,0.0,0.0,0.023809524,0.0,0.0,0.109375,0.004983165,0.0,0.0,1.0
36,0.031088083,0.125,0.0,0.125,0.071428571,0.0,0.0,0.00862069,0.125,0.060920314,0.0,0.0,0.0
37,0.082901554,0.25,0.14893617,0.0,0.023809524,0.023809524,0.0,0.025862069,0.078125,0.008170595,0.0,0.427512832,1.0
38,0.020725389,0.125,0.0,0.0,0.023809524,0.0,0.0,0.0,0.109375,0.001705948,1.0,0.0,0.0
39,0.010362694,0.25,0.0,0.0,0.0,0.023809524,0.0,0.0,0.0625,0.000763187,0.5,0.0,0.0
40,0.056994819,0.5,0.0,0.0,0.023809524,0.023809524,0.0,0.0,0.09375,0.006195286,1.0,0.0,0.0
41,0.020725389,0.25,0.0,0.0,0.0,0.023809524,0.0,0.017241379,0.4375,0.13993266,0.0,0.0,0.0
42,0.062176166,0.125,0.085106383,0.166666667,0.071428571,0.0,0.0,0.017241379,0.328125,0.094949495,0.0,0.215021247,0.0
