feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,labels
0.1968912,0.0,0.212766,0.0,0.0952381,0.0,0.0,0.00862069,0.171875,0.0169248,0.0,0.2723603,0
0.04663212,0.25,0.0,0.0,0.0,0.02380952,0.0,0.00862069,0.046875,0.02482604,0.0,0.0,0
0.03626943,0.125,0.042553191,0.0,0.0,0.0,0.0,0.025862069,0.0,0.001346801,0.0,0.069881905,0
0.01554404,0.125,0.04255319,0.0,0.0,0.0,0.0,0.0,0.203125,0.1151515,1.0,0.1397638,0
0.07253886,0.125,0.08510638,0.0,0.04761905,0.0,0.0,0.02586207,0.28125,0.1639955,0.0,0.111811,0
0.01554404,0.375,0.0,0.0,0.02380952,0.07142857,0.0,0.06896552,0.1875,0.04790123,0.0,0.0,0
0.07253886,0.25,0.04255319,0.0,0.07142857,0.04761905,0.0,0.03448276,0.546875,0.0772615,0.0,0.1490814,0
0.02072539,0.125,0.04255319,0.0,0.0,0.0,0.0,0.0,0.203125,0.1151515,1.0,0.111811,0
0.01036269,0.125,0.0,0.0,0.0,0.0,0.0,0.04310345,0.46875,0.1582492,0.0,0.0,1
0.03108808,0.0,0.0212766,0.0,0.07142857,0.0,0.0,0.04310345,0.265625,0.06473625,0.0,0.0,0
0.09326425,0.0,0.1702128,0.0,0.1666667,0.0,0.0,0.0,0.015625,0.05512907,0.0,0.2059677,0
0.015544041,0.125,0.0,0.0,0.023809524,0.023809524,0.0,0.0,0.125,0.01647587,1.0,0.0,0
0.04663212,0.125,0.0212766,0.0,0.0,0.0,0.0,0.0,0.09375,0.004668911,0.0,0.05590552,0
0.119171,0.25,0.0212766,0.0,0.02380952,0.02380952,0.0,0.0,0.109375,0.004444444,0.5,0.0,0
0.041450777,0.125,0.021276596,0.0,0.0,0.0,0.0,0.025862069,0.0,0.001346801,0.0,0.124234498,0
0.04663212,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.01090909,0.0,0.0,0
0.062176166,0.125,0.0,0.0,0.047619048,0.0,0.0,0.025862069,0.171875,0.005836139,0.0,0.0,0
0.025906736,0.125,0.0,0.0,0.023809524,0.0,0.0,0.0,0.03125,0.019887767,0.0,0.093175874,0
0.05181347,0.125,0.08510638,0.0,0.1428571,0.0,0.0,0.02586207,0.28125,0.1639955,0.0,0.2032928,0
0.103626943,0.125,0.0,0.0,0.047619048,0.0,0.0,0.034482759,0.21875,0.084624018,0.0,0.479190231,0
0.03626943,0.25,0.0212766,0.0,0.04761905,0.02380952,0.0,0.01724138,0.140625,0.02056117,0.0,0.0,0
0.1295337,0.125,0.1914894,0.0,0.04761905,0.0,0.0,0.00862069,0.34375,0.2409428,0.0,0.172017,0
0.010362694,0.125,0.021276596,0.0,0.0,0.0,0.0,0.0,0.0625,0.002154882,1.0,0.186351747,0
0.14507772,0.25,0.021276596,0.0,0.071428571,0.023809524,0.2,0.051724138,0.171875,0.011492705,0.0,0.34699983,0
0.06735751,0.125,0.1489362,0.0,0.1666667,0.0,0.0,0.0,0.09375,0.01216611,0.0,0.5191227,0
0.02590674,0.125,0.04255319,0.0,0.02380952,0.0,0.0,0.00862069,0.203125,0.01248036,0.0,0.09317589,1
0.04145078,0.125,0.0212766,0.0,0.02380952,0.0,0.0,0.0,0.28125,0.015578,0.0,0.248469,0
0.046632124,0.25,0.0,0.0,0.0,0.071428571,0.0,0.0,0.0625,0.002154882,1.0,0.0,0
0.020725389,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026936,0.0,0.0,0
0.03626943,0.125,0.0,0.0,0.023809524,0.071428571,0.0,0.034482759,0.15625,0.029315376,0.0,0.0,0
