Id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,labels
1,0.04145078,0.375,0.0,0.0,0.07142857,0.07142857,0.0,0.02586207,0.375,0.1179798,0.0,0.1242345,0
2,0.1088083,0.25,0.0212766,0.0,0.2142857,0.02380952,0.0,0.02586207,1.0,0.4012121,0.0,0.07623479,0
3,0.02590674,0.125,0.0212766,0.0,0.02380952,0.0,0.0,0.0,0.25,0.0142312,1.0,0.0,1
4,0.119171,0.375,0.0,0.0,0.02380952,0.02380952,0.0,0.03448276,0.140625,0.0182716,0.0,0.0,0
5,0.088082902,0.0,0.340425532,0.0,0.428571429,0.0,0.0,0.077586207,0.21875,0.017059484,0.0,0.96281736,0
6,0.015544041,0.125,0.0,0.0,0.0,0.023809524,0.0,0.0,0.078125,0.007093154,1.0,0.0,0
7,0.04145078,0.125,0.0212766,0.0,0.07142857,0.0,0.0,0.00862069,0.34375,0.2409428,0.0,0.0,0
8,0.025906736,0.125,0.0,0.0,0.023809524,0.0,0.0,0.00862069,0.203125,0.055308642,0.0,0.0,0
9,0.025906736,0.25,0.021276596,0.0,0.0,0.023809524,0.0,0.034482759,0.21875,0.015578002,0.0,0.372703494,0
10,0.02072539,0.0,0.0212766,0.0,0.0,0.0,0.0,0.06896552,0.234375,0.01468013,0.0,0.0,0
11,0.07772021,0.0,0.1276596,0.0,0.04761905,0.0,0.0,0.02586207,0.078125,0.09095398,0.0,0.73376,0
12,0.025906736,0.125,0.021276596,0.0,0.023809524,0.0,0.0,0.051724138,0.0625,0.007901235,0.0,0.0,0
13,0.031088083,0.0,0.0,0.0,0.023809524,0.0,0.0,0.025862069,0.234375,0.017194164,0.0,0.0,0
14,0.03626943,0.125,0.0212766,0.0,0.0952381,0.0,0.0,0.2758621,0.15625,0.1526824,0.0,0.1397638,0
15,0.031088083,0.125,0.063829787,0.0,0.047619048,0.0,0.0,0.025862069,0.109375,0.004893378,0.0,0.319460154,0
16,0.05699482,0.125,0.06382979,0.0,0.02380952,0.0,0.0,0.00862069,0.140625,0.0372615,0.0,0.2329397,0
17,0.051813472,0.125,0.0,0.0,0.0,0.095238095,0.0,0.0,0.90625,0.104826038,0.0,0.0,0
18,0.06217617,0.125,0.04255319,0.0,0.02380952,0.0,0.0,0.0,0.046875,0.00291807,0.5,0.2150213,0
19,0.03626943,0.125,0.021276596,0.0,0.047619048,0.0,0.0,0.00862069,0.046875,0.006015713,0.0,0.0,0
20,0.051813472,0.25,0.021276596,0.0,0.0,0.0,0.0,0.0,0.0,0.00026936,0.0,0.101646408,0
21,0.03108808,0.25,0.0,0.0,0.02380952,0.02380952,0.0,0.03448276,0.375,0.05939394,0.0,0.07986501,0
22,0.020725389,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.0,0.000852974,0.0,0.0,0
23,0.03626943,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026936,0.0,0.069881905,0
24,0.02072539,0.125,0.0212766,0.0,0.04761905,0.0,0.0,0.2758621,0.15625,0.1526824,0.0,0.0,0
25,0.08290155,0.125,0.212766,0.0,0.0952381,0.0,0.0,0.02586207,0.078125,0.03501684,0.0,0.6248264,0
26,0.08290155,0.125,0.0212766,0.0,0.3571429,0.0,0.0,0.02586207,1.0,0.4012121,0.0,0.0328856,0
27,0.08290155,0.125,0.0,0.0,0.0952381,0.07142857,0.0,0.00862069,0.0625,0.00956229,0.0,0.06577123,0
28,0.05181347,0.25,0.1276596,0.0,0.1666667,0.04761905,0.0,0.00862069,0.140625,0.01984287,0.0,0.254116,0
29,0.07253886,0.25,0.042553191,0.0,0.023809524,0.0,0.0,0.00862069,0.15625,0.000763187,0.0,0.111811048,0
30,0.02590674,0.25,0.04255319,0.0,0.0,0.04761905,0.0,0.01724138,0.265625,0.04691358,0.0,0.09317589,0
31,0.020725389,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.0,0.000852974,0.0,0.0,0
32,0.041450777,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.0,0.000852974,0.0,0.062117249,0
33,0.02072539,0.25,0.0,0.0,0.02380952,0.02380952,0.0,0.06034483,0.1875,0.06680135,0.0,0.0,0
34,0.08290155,0.375,0.0,0.0,0.04761905,0.0,0.0,0.02586207,0.609375,0.09301908,0.0,0.0,0
35,0.02590674,0.375,0.0,0.0,0.0,0.1666667,0.0,0.01724138,0.46875,0.08579125,0.0,0.09317589,0
36,0.0880829,0.375,0.0212766,0.0,0.02380952,0.02380952,0.0,0.0,0.171875,0.007676768,0.0,0.03105863,0
37,0.025906736,0.125,0.042553191,0.0,0.047619048,0.0,0.0,0.034482759,0.171875,0.06298541,0.0,0.093175874,0
38,0.020725389,0.125,0.021276596,0.0,0.0,0.0,0.0,0.017241379,0.328125,0.05369248,0.0,0.0,0
39,0.025906736,0.25,0.0,0.0,0.023809524,0.023809524,0.0,0.017241379,0.15625,0.02325477,0.0,0.0,0
40,0.02072539,0.0,0.06382979,0.0,0.0,0.0,0.0,0.0,0.140625,0.05921437,0.0,0.2236221,0
41,0.1243523,0.25,0.0212766,0.0,0.2142857,0.02380952,0.0,0.02586207,1.0,0.4012121,0.0,0.06708663,1
42,0.041450777,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.0,0.000852974,0.0,0.062117249,0
43,0.031088083,0.25,0.0,0.0,0.047619048,0.095238095,0.0,0.017241379,0.203125,0.031021324,0.0,0.0,0
44,0.025906736,0.125,0.021276596,0.0,0.071428571,0.0,0.0,0.00862069,0.15625,0.010684624,0.0,0.0,0
