feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,labels
0.06735751,0.0,0.0,0.0,0.04761905,0.0,0.0,0.0,0.0,0.01396184,0.0,0.03993252,0.0
0.01036269,0.0,0.0,0.0,0.0,0.0,0.0,0.00862069,0.140625,0.04282828,0.0,0.0,0.0
0.04145078,0.25,0.0,0.0,0.0,0.02380952,0.0,0.03448276,0.484375,0.2375758,0.0,0.0,1.0
0.015544041,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.0,0.000852974,0.0,0.0,0.0
0.02072539,0.25,0.0,0.0,0.02380952,0.02380952,0.0,0.06034483,0.1875,0.06680135,0.0,0.0,0.0
0.02072539,0.0,0.0,0.0,0.02380952,0.0,0.0,0.0,0.0,0.01203143,0.0,0.2236221,0.0
0.03108808,0.0,0.0212766,0.0,0.04761905,0.0,0.0,0.06896552,0.265625,0.1700112,0.0,0.0,0.0
0.020725389,0.125,0.0,0.0,0.0,0.0,0.0,0.025862069,0.0,0.001346801,0.0,0.0,0.0
0.031088083,0.125,0.021276596,0.0,0.071428571,0.047619048,0.0,0.051724138,0.125,0.064960718,0.0,0.079865034,0.0
0.02590674,0.125,0.0,0.0,0.02380952,0.0,0.0,0.02586207,0.078125,0.03501684,0.0,0.0,0.0
0.02590674,0.25,0.0,0.25,0.0,0.02380952,0.0,0.00862069,0.25,0.02684624,0.0,0.0,0.0
0.02072539,0.25,0.0,0.0,0.02380952,0.02380952,0.0,0.03448276,0.421875,0.02406285,0.0,0.0,0.0
0.03626943,0.125,0.0,0.0,0.02380952,0.0,0.0,0.00862069,0.125,0.01248036,0.0,0.0,0.0
0.020725389,0.125,0.0,0.0,0.0,0.0,0.0,0.017241379,0.203125,0.031021324,0.0,0.0,0.0
0.01554404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.002020202,1.0,0.0,1.0
0.1139896,0.25,0.0,0.0,0.02380952,0.02380952,0.0,0.05172414,0.328125,0.02873176,0.0,0.0,0.0
0.1398964,0.125,0.04255319,0.0,0.07142857,0.0,0.0,0.02586207,0.546875,0.2829181,0.0,0.01996626,1.0
0.02590674,0.25,0.0,0.25,0.0,0.02380952,0.0,0.00862069,0.25,0.02684624,0.0,0.0,0.0
0.119171,0.125,0.1702128,0.0,0.04761905,0.0,0.0,0.0,0.03125,0.01427609,0.0,0.3494095,0.0
0.02590674,0.125,0.04255319,0.0,0.04761905,0.0,0.0,0.0,0.0,0.009292929,0.0,0.2795276,0.0
0.134715,0.0,0.08510638,0.0,0.02380952,0.0,0.0,0.0,0.015625,0.000718294,1.0,0.1863517,1.0
0.0880829,0.125,0.0,0.0,0.02380952,0.0,0.0,0.04310345,0.375,0.01373737,0.0,0.03105863,0.0
0.1554404,0.25,0.106383,0.0,0.0,0.0,0.0,0.0,0.03125,0.01979798,0.0,0.09017019,0.0
0.01554404,0.125,0.0212766,0.0,0.0952381,0.0,0.0,0.00862069,0.21875,0.05719416,0.0,0.0,0.0
0.010362694,0.125,0.021276596,0.0,0.023809524,0.0,0.0,0.025862069,0.109375,0.011268238,0.0,0.0,0.0
0.005181347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.01005612,0.0,0.0,0.0
0.0880829,0.125,0.0212766,0.0,0.04761905,0.0,0.0,0.00862069,0.25,0.04157127,0.0,0.0,0.0
0.03108808,0.0,0.0212766,0.0,0.0,0.0,0.0,0.0,0.03125,0.03344557,0.0,0.2395951,0.0
0.1450777,0.5,0.1702128,0.0,0.04761905,0.0952381,0.0,0.0,0.3125,0.01975309,0.0,0.1349444,1.0
0.134715,0.125,0.08510638,0.0,0.02380952,0.0,0.0,0.01724138,0.40625,0.04098765,0.0,0.06211724,0.0
0.02072539,0.375,0.0212766,0.0,0.02380952,0.02380952,0.0,0.00862069,0.1875,0.01405163,0.0,0.0,0.0
0.04145078,0.25,0.0,0.0,0.04761905,0.0,0.0,0.00862069,0.421875,0.03160494,0.0,0.0,0.0
0.015544041,0.125,0.0,0.0,0.023809524,0.023809524,0.0,0.034482759,0.15625,0.029315376,0.0,0.0,0.0
